城市,编号,名称,地区,经纬度
北京市,BV10881788,新发地(地铁站),丰台区,"116.346333,39.823455"
北京市,BV10001215,知春里(地铁站),海淀区,"116.328709,39.976334"
北京市,BV10000636,七里庄(地铁站),丰台区,"116.294292,39.866773"
北京市,BV10013517,高碑店(地铁站),朝阳区,"116.531421,39.909448"
北京市,BV10013495,丰台站(地铁站),丰台区,"116.304501,39.850249"
北京市,BV10007288,苏州桥(地铁站),海淀区,"116.308092,39.962052"
北京市,BV11663719,楼梓庄桥西(地铁站),朝阳区,"116.581332,39.978571"
北京市,BV11467455,清河站(地铁站),海淀区,"116.314961,40.041164"
北京市,BV10013418,新宫(地铁站),丰台区,"116.365549,39.812592"
北京市,BV10013377,望京西(地铁站),朝阳区,"116.449884,39.995724"
北京市,BV10012405,车道沟(地铁站),海淀区,"116.293818,39.947923"
北京市,BV11303296,黑庄户(地铁站),朝阳区,"116.599119,39.858725"
北京市,BV10416647,安立路(地铁站),朝阳区,"116.407845,40.002619"
北京市,BV10416640,关庄(地铁站),朝阳区,"116.430947,40.001134"
北京市,BV10416591,望京南(地铁站),朝阳区,"116.481634,39.984634"
北京市,BV10416589,高家园(地铁站),朝阳区,"116.488543,39.980572"
北京市,BV10013375,奥林匹克公园(地铁站),朝阳区,"116.391758,40.002207"
北京市,BV10013411,海淀黄庄(地铁站),海淀区,"116.317564,39.975996"
北京市,BV10013474,丰台东大街(地铁站),丰台区,"116.293857,39.855111"
北京市,BV10013376,大屯路东(地铁站),朝阳区,"116.417377,40.003841"
北京市,BV11663717,楼梓庄(地铁站),朝阳区,"116.592616,39.978517"
北京市,BV11103938,西黄村(地铁站),石景山区,"116.206932,39.933605"
北京市,BV10563754,花乡东桥(地铁站),丰台区,"116.320064,39.829211"
北京市,BV10416592,阜通(地铁站),朝阳区,"116.471740,39.991699"
北京市,BV10416650,北沙滩(地铁站),海淀区,"116.368143,40.001492"
北京市,BV10416577,双合(地铁站),朝阳区,"116.526836,39.859691"
北京市,BV10007535,长春桥(地铁站),海淀区,"116.294255,39.958527"
北京市,BV11031725,次渠北(地铁站),通州区,"116.576670,39.809390"
北京市,BV10701098,体育中心(地铁站),朝阳区,"116.530109,39.948907"
北京市,BV10013510,海淀五路居(地铁站),海淀区,"116.276531,39.932584"
北京市,BV10013485,苏州街(地铁站),海淀区,"116.306332,39.975642"
北京市,BV10416642,六道口(地铁站),海淀区,"116.352670,40.000958"
北京市,BV10000335,旧宫(地铁站),大兴区,"116.460789,39.806910"
